1-(-2-3)/(-4-5)-6,1,2,3,23,4,5,45,23/45,6,123/456
,,,,,,,,,,
1-(-2-3)-6,1,2,3,23,6,1236,,,,
,,,,,,,,,,
-(-2-3)/(-4-5)-6,2,3,23,4,5,45,6,23/456,,
,,,,,,,,,,
-(-2-3)-6,2,3,23,6,236,,,,,
,,,,,,,,,,
1-(-2)/(-4)-6,1,2,4,2/4,6,12/46,,,,
,,,,,,,,,,
1-(-2)-6,1,2,6,126,,,,,,
,,,,,,,,,,
-(-2)/(-4)-6,2,4,6,2/46,,,,,,
,,,,,,,,,,
-(-2)-6,2,6,26,,,,,,,
,,,,,,,,,,
1+(2+3)/(4+5)+6,1,2,3,23,4,5,45,6,123/456,
,,,,,,,,,,
1+2+3+6,1,2,3,6,1236,,,,,
,,,,,,,,,,
(2+3)/(4+5)+6,2,3,23,4,5,45,6,23/456,,
,,,,,,,,,,
2+3+6,2,3,6,236,,,,,,
,,,,,,,,,,
1+2/4+6,1,2,4,6,12/46,,,,,
,,,,,,,,,,
1+2+6,1,2,6,126,,,,,,
,,,,,,,,,,
2/4+6,2,4,6,2/46,,,,,,
,,,,,,,,,,
2+6,2,6,26,,,,,,,
,,,,,,,,,,
1-1/(-4-5)-6,1,1,4,5,45,1/45,6,11/456,,
,,,,,,,,,,
-1/(-4-5)-6,1,4,5,45,6,1/456,,,,
,,,,,,,,,,
1-1/(-4)-6,1,1,4,1/4,6,11/46,,,,
,,,,,,,,,,
-1/(-4)-6,1,4,6,1/46,,,,,,
,,,,,,,,,,
1+1/(4+5)+6,1,1,4,5,45,6,11/456,,,
,,,,,,,,,,
1/(4+5)+6,1,4,5,45,6,1/456,,,,
,,,,,,,,,,
1+1/4+6,1,1,4,6,11/46,,,,,
,,,,,,,,,,
1/4+6,1,4,6,1/46,,,,,,
